Ea (kJ/mol),T1 (°C),T2 (°C),D2/D1,Percent Increase
20.0,15.0,18.0,1.0898295004763061,8.982950047630611
20.0,15.0,19.0,1.1210911219419089,12.109112194190885
20.0,15.0,20.0,1.1530269848353498,15.302698483534982
20.0,15.0,21.0,1.1856461308700912,18.564613087009118
20.0,15.0,22.0,1.218957622172928,21.89576221729279
20.0,15.0,23.0,1.2529705400358837,25.29705400358837
20.0,15.0,24.0,1.2876939836713923,28.76939836713923
20.0,15.0,25.0,1.3231370689711557,32.313706897115566
20.0,16.0,19.0,1.089185687769203,8.9185687769203
20.0,16.0,20.0,1.1202126793395617,12.021267933956171
20.0,16.0,21.0,1.15190350831228,15.190350831227995
20.0,16.0,22.0,1.1842669789126457,18.426697891264567
20.0,16.0,23.0,1.2173119139857471,21.731191398574712
20.0,16.0,24.0,1.2510471537870806,25.104715378708065
20.0,16.0,25.0,1.2854815547767318,28.548155477673177
20.0,16.0,26.0,1.3206239884174853,32.06239884174853
20.0,17.0,20.0,1.088548860880055,8.85488608800551
20.0,17.0,21.0,1.1193439200816127,11.934392008161264
20.0,17.0,22.0,1.150792608090503,15.07926080905031
20.0,17.0,23.0,1.182903498366167,18.290349836616706
20.0,17.0,24.0,1.2156851812863312,21.56851812863312
20.0,17.0,25.0,1.249146262975275,24.914626297527498
20.0,17.0,26.0,1.2832953641359124,28.32953641359124
20.0,17.0,27.0,1.3181411188860415,31.814111888604145
20.0,18.0,21.0,1.0879189179150581,8.791891791505812
20.0,18.0,22.0,1.118484700258331,11.848470025833091
20.0,18.0,23.0,1.1496940938819122,14.969409388191224
20.0,18.0,24.0,1.1815554479931127,18.155544799311272
20.0,18.0,25.0,1.2140771271037196,21.40771271037196
20.0,18.0,26.0,1.2472675098948673,24.726750989486735
20.0,18.0,27.0,1.281134988085958,28.113498808595793
20.0,18.0,28.0,1.3156879653079767,31.56879653079767
20.0,19.0,22.0,1.087295758850983,8.729575885098306
20.0,19.0,23.0,1.1176348786578014,11.763487865780142
20.0,19.0,24.0,1.1486077790366411,14.860777903664113
20.0,19.0,25.0,1.1802225912549116,18.022259125491157
20.0,19.0,26.0,1.2124874603542566,21.248746035425658
20.0,19.0,27.0,1.2454105440510173,24.541054405101725
20.0,19.0,28.0,1.2790000116409612,27.90000116409612
20.0,19.0,29.0,1.3132640429085642,31.326404290856424
20.0,20.0,23.0,1.0866792854937437,8.66792854937437
20.0,20.0,24.0,1.1167943167048016,11.679431670480156
20.0,20.0,25.0,1.1475334804589132,14.753348045891324
20.0,20.0,26.0,1.178904696201153,17.89046962011529
20.0,20.0,27.0,1.2109158957002342,21.091589570023416
20.0,20.0,28.0,1.2435750219835788,24.357502198357885
20.0,20.0,29.0,1.2768900282768052,27.68900282768052
20.0,20.0,30.0,1.3108688769479644,31.086887694796438
20.0,21.0,24.0,1.0860694014380265,8.606940143802655
20.0,21.0,25.0,1.1159628784013036,11.596287840130358
20.0,21.0,26.0,1.1464710185251605,14.647101852516053
20.0,21.0,27.0,1.1776015353618345,17.760153536183452
20.0,21.0,28.0,1.2093621534125232,20.936215341252318
20.0,21.0,29.0,1.2417606070960518,24.176060709605185
20.0,21.0,30.0,1.2748046397221542,27.480463972215418
20.0,21.0,31.0,1.3085020024696392,30.850200246963922
20.0,22.0,25.0,1.0854660120279787,8.546601202797866
20.0,22.0,26.0,1.1151404302685517,11.51404302685517
20.0,22.0,27.0,1.1454202170043635,14.542021700436347
20.0,22.0,28.0,1.1763128856426008,17.631288564260082
20.0,22.0,29.0,1.2078259592370493,20.78259592370493
20.0,22.0,30.0,1.2399669694894346,23.996696948943463
20.0,22.0,31.0,1.2727434557555124,27.27434557555124
20.0,22.0,32.0,1.3061629640561547,30.616296405615472
20.0,23.0,26.0,1.0848690243188959,8.486902431889586
20.0,23.0,27.0,1.1143268412906593,11.43268412906593
20.0,23.0,28.0,1.1443809029805403,14.438090298054028
20.0,23.0,29.0,1.17503852822283,17.503852822282994
20.0,23.0,30.0,1.206307044265004,20.63070442650039
20.0,23.0,31.0,1.2381937858007925,23.819378580079253
20.0,23.0,32.0,1.270706094008113,27.070609400811296
20.0,23.0,33.0,1.3038513155921372,30.38513155921372
20.0,24.0,27.0,1.0842783470398976,8.427834703989756
20.0,24.0,28.0,1.1135219828597038,11.352198285970383
20.0,24.0,29.0,1.1433529067773016,14.33529067773016
20.0,24.0,30.0,1.1737782484565256,17.377824845652555
20.0,24.0,31.0,1.2048051448066739,20.480514480667388
20.0,24.0,32.0,1.2364407390463803,23.64407390463803
20.0,24.0,33.0,1.2686921797724884,26.869217977248837
20.0,24.0,34.0,1.30156662003414,30.156662003414002
20.0,25.0,28.0,1.083693890557561,8.369389055756105
20.0,25.0,29.0,1.1127257287222336,11.272572872223364
20.0,25.0,30.0,1.1423360618844265,14.23360618844265
20.0,25.0,31.0,1.1725318357759011,17.253183577590114
20.0,25.0,32.0,1.2033200022687467,20.33200022687467
20.0,25.0,33.0,1.2347075184691934,23.470751846919335
20.0,25.0,34.0,1.2667013458165066,26.67013458165066
20.0,25.0,35.0,1.2993084491871665,29.930844918716648
20.0,26.0,29.0,1.0831155668404713,8.311556684047128
20.0,26.0,30.0,1.111937954927185,11.193795492718506
20.0,26.0,31.0,1.1413302048863982,14.133020488639826
20.0,26.0,32.0,1.1712990835975703,17.129908359757028
20.0,26.0,33.0,1.2018513630350198,20.185136303501984
20.0,26.0,34.0,1.232993819390796,23.29938193907961
20.0,26.0,35.0,1.2647332322026967,26.473323220269673
20.0,26.0,36.0,1.2970763834876762,29.707638348767617
20.0,27.0,30.0,1.0825432894246803,8.254328942468025
20.0,27.0,31.0,1.1111585397751573,11.115853977515734
20.0,27.0,32.0,1.1403351753928217,14.033517539282169
20.0,27.0,33.0,1.170079789231284,17.007978923128398
20.0,27.0,34.0,1.2003989783503874,20.039897835038744
20.0,27.0,35.0,1.2312993430672776,23.129934306727762
20.0,27.0,36.0,1.262787486112718,26.278748611271794
20.0,27.0,37.0,1.294870011792811,29.48700117928109
20.0,28.0,31.0,1.0819769733800315,8.197697338003152
20.0,28.0,32.0,1.1103873637689678,11.038736376896786
20.0,28.0,33.0,1.1393508159706758,13.935081597067578
20.0,28.0,34.0,1.168873753791108,16.887375379110804
20.0,28.0,35.0,1.1989626042079757,19.896260420797574
20.0,28.0,36.0,1.2296237965492207,22.96237965492207
20.0,28.0,37.0,1.2608637616767517,26.086376167675173
20.0,28.0,38.0,1.2926889311756586,29.268893117565863
20.0,29.0,32.0,1.081416535277336,8.141653527733595
20.0,29.0,33.0,1.1096243095655154,10.96243095655154
20.0,29.0,34.0,1.1383769720783634,13.837697207836342
20.0,29.0,35.0,1.1676807821089836,16.768078210898363
20.0,29.0,36.0,1.1975420012393918,19.75420012393918
20.0,29.0,37.0,1.2279668925455471,22.796689254554714
20.0,29.0,38.0,1.258961719807723,25.896171980772298
20.0,29.0,39.0,1.2905327467263719,29.053274672637187
20.0,30.0,33.0,1.08086189315637,8.086189315637004
20.0,30.0,34.0,1.108869261928862,10.886926192886204
20.0,30.0,35.0,1.1374134920014645,13.741349200146447
20.0,30.0,36.0,1.1665006826506024,16.650068265060234
20.0,30.0,37.0,1.1961369346079196,19.613693460791957
20.0,30.0,38.0,1.226328349291118,22.632834929111787
20.0,30.0,39.0,1.257081028040147,25.7081028040147
20.0,30.0,40.0,1.2884010713589096,28.840107135890957
20.0,31.0,34.0,1.0803129664946713,8.031296649467134
20.0,31.0,35.0,1.108122107684499,10.812210768449892
20.0,31.0,36.0,1.1364602267901778,13.646022679017777
20.0,31.0,37.0,1.165333267433491,16.533326743349107
20.0,31.0,38.0,1.1947471739046123,19.474717390461226
20.0,31.0,39.0,1.2247078904179651,22.470789041796515
20.0,31.0,40.0,1.255221360373456,25.52213603734561
20.0,32.0,35.0,1.0797696761771123,7.976967617711228
20.0,32.0,36.0,1.1073827356748107,10.738273567481071
20.0,32.0,37.0,1.1355170301983846,13.551703019838456
20.0,32.0,38.0,1.1641783519472952,16.417835194729523
20.0,32.0,39.0,1.1933724930471927,19.337249304719272
20.0,32.0,40.0,1.2231052448300508,22.31052448300508
20.0,33.0,36.0,1.0792319444662324,7.9231944466232385
20.0,33.0,37.0,1.106651036715634,10.665103671563392
20.0,33.0,38.0,1.1345837586242882,13.458375862428817
20.0,33.0,39.0,1.1630357550761419,16.303575507614188
20.0,33.0,40.0,1.1920126701816423,19.201267018164224
20.0,34.0,37.0,1.078699694973289,7.869969497328899
20.0,34.0,38.0,1.1059269035539299,10.592690355392985
20.0,34.0,39.0,1.1336602710525792,13.366027105257917
20.0,34.0,40.0,1.1619052990230376,16.190529902303762
20.0,35.0,38.0,1.0781728526300434,7.817285263004337
20.0,35.0,39.0,1.105210230826529,10.521023082652903
20.0,35.0,40.0,1.1327464289980926,13.274642899809264
20.0,36.0,39.0,1.0776513436612158,7.765134366121584
20.0,36.0,40.0,1.104500915019884,10.450091501988389
20.0,37.0,40.0,1.0771350955576278,7.713509555762776
30.0,15.0,18.0,1.1377264098200095,13.77264098200095
30.0,15.0,19.0,1.1870291115339393,18.70291115339393
30.0,15.0,20.0,1.2381099309704822,23.810993097048218
30.0,15.0,21.0,1.2910189962941858,29.101899629418583
30.0,15.0,22.0,1.345807397131022,34.580739713102204
30.0,15.0,23.0,1.4025271915495845,40.25271915495845
30.0,15.0,24.0,1.461231412871597,46.12314128715971
30.0,15.0,25.0,1.5219740763092529,52.197407630925284
30.0,16.0,19.0,1.1367183972854555,13.671839728545553
30.0,16.0,20.0,1.1856342213690796,18.56342213690796
30.0,16.0,21.0,1.2363008034707708,23.630080347077076
30.0,16.0,22.0,1.2887670678478942,28.87670678478942
30.0,16.0,23.0,1.343082866154232,34.3082866154232
30.0,16.0,24.0,1.399298983961837,39.9298983961837
30.0,16.0,25.0,1.457467147117057,45.74671471170571
30.0,16.0,26.0,1.5176400279284135,51.764002792841346
30.0,17.0,20.0,1.135721615432445,13.572161543244498
30.0,17.0,21.0,1.1842552453124318,18.425524531243177
30.0,17.0,22.0,1.2345127947826942,23.451279478269417
30.0,17.0,23.0,1.286542016851491,28.654201685149093
30.0,17.0,24.0,1.340391559129437,34.039155912943706
30.0,17.0,25.0,1.3961109699179517,39.61109699179517
30.0,17.0,26.0,1.453750704136642,45.3750704136642
30.0,17.0,27.0,1.5133621290875128,51.33621290875128
30.0,18.0,21.0,1.1347358953357052,13.473589533570518
30.0,18.0,22.0,1.1828919373893512,18.28919373893512
30.0,18.0,23.0,1.2327455699753573,23.274556997535733
30.0,18.0,24.0,1.2843434065161297,28.434340651612967
30.0,18.0,25.0,1.3377329234627087,33.773292346270864
30.0,18.0,26.0,1.3929624659742996,39.29624659742996
30.0,18.0,27.0,1.450081253441454,45.0081253441454
30.0,18.0,28.0,1.5091393848509933,50.91393848509933
30.0,19.0,22.0,1.1337610712781099,13.376107127810988
30.0,19.0,23.0,1.1815440564361288,18.154405643612883
30.0,19.0,24.0,1.2309988008493908,23.099880084939084
30.0,19.0,25.0,1.282170809056638,28.217080905663792
30.0,19.0,26.0,1.335106418223387,33.51064182233869
30.0,19.0,27.0,1.3898528034357092,38.98528034357091
30.0,19.0,28.0,1.4464579828423243,44.64579828423243
30.0,19.0,29.0,1.5049708226431848,50.49708226431848
30.0,20.0,23.0,1.1327969806770108,13.279698067701084
30.0,20.0,24.0,1.1802113659860745,18.021136598607445
30.0,20.0,25.0,1.2292721657730878,22.927216577308783
30.0,20.0,26.0,1.280023805466714,28.00238054667139
30.0,20.0,27.0,1.3325115138460009,33.251151384600085
